1, د TMR لپاره امید :(
2, د IKA په ماشومانو کې هرڅه دومره ښکلي دي.شرم زه نږدې په میاشتو کې یم :(
3, دا زړه د کثافاتو باسکیټ ته ځي.:(
4, ": زه له جاپاني تورو څخه کرکه لرم هغه" "مهای" :( "زه هم
5, د نن ورځې پیل کول زه "کار" لرم :(
6, اوه خدایه، زما د ماشومانو مخونه مخونه :(
7, ما و خنده وه :((
8, د کارګر ګاونډی په مونپوښتنه وکړه چې ولې او هغه وویل چې په لټون کې تازه معلومات ډیر دي :(
9, ولې؟ :( ": حیوان :("
10, د اتباکاکایکا ګلیر په # :-( کې و ...
11, زه واقعیا ښه م او امپ لرم؛ g نظر زه هیڅکله د دوی سره لیدو ته نه ځم: ((
12, میري ایوان :(
زه تاسره مینه نه لرم, 5003
زه تاسره مینه نلرم, 5000
13, ښه سفر، خوندي وساتئ.ژر به سره ګورو :* :(
14, زه ډیر ستړی هاهاهاه یم :(
15, د زنګون ځای په ځای کولو سره دوی تاسو ترلاسه کوي & amp؛په هماغه ورځ.:-(
16, ستاسو په ژوند کې د "دوه کیللر" ډول "دوه کیللر" ډول پورې اړوند "دوه اړخیز" مه "کړئ ... زما د ژوند څخه ډک ...
17, مهرباني وکړه :(
18, زه ډاډه نه یم چې
19, زه احمق احساس کومزه یوازې نشم کولی د ډیجیټل نقاشي اساسات او هیڅ شی د ډیجیټل نقاشي اساسات ترلاسه کړئ
20, ښه څښتن.:(
21, زه یوازینی احساس کوم چې هلکان زما سره خبرې کوي او انجونې :(
22, هیڅ دنده نده، مګر موږ پروژه لرو.:( واقعیا؟ 😩
23, یوازې د ویډیو لوبو لوبول غواړئ / د چا سره فلمونه وګورئ :(
24, کوروګوینګ سخت دی: (
25, د بریښنالیک لینک څه شی دی؟لاهم وايي چې دا نور شتون نلري :(
26, ژړا بی سی زه د ډیر څه په توګه یادوم :-(
27, بخښنه :(
28, مور هم لرې :(
29, موږ واقعیا بخښنه غواړو :( خوندي الوتنه لري.
30, او زما ملګري :(
31, اوه :( زه نفرت لرم کله چې هغه پیښیږي زه هم په دې کې دومره غمجن یم
32, هو.سپی زما په کڅوړه کې دی.:-( نو زه یې نشم کولی
33, دواړه: (؟
34, ډیر ناوخته :(
35, دا خرابیږي ناروغ و چې زه پلان لرم چې زما په لومړي ګنډم کې کار پیل کړئ مګر نیپ.:(
36, زما $$$$ ډالر :(
37, زاړه نندارې ته بیرته غوږ نیول (زه پوهیږم، زه عجیب یم).یوازې تاسو ته لاړ شئ: ممکن پریږدي.دا د پای څخه وروسته د پای لیوالتیا وه:
38, زه په بحر کې لاړم او اوس د لوی فکینګ خزانه زما په بدن کې یم او دا خورا دردناک شی دی چې زه یې کور ته ځم: (((
39, سلام.تاسو ولې غیر حاضر یاست؟:(
40, زما يا ګرانه !!!هغه پوهیده خو پاملرنه یې نکړ چې ما ته ووایاست: (((
41, ورته ورته دی زه دا ډیره مینه لرم
42, بوخت سیم ښوونځي :( راتلونکې وخت yah! xx
43, اووچه زما د حکمت غاښ غاښونه راځي :(
44, ویره لرونکی قضیه.دا واقعیا تاسو ته راځي :(
45, مخکی: ((wkwkwk ": تایید شو، مه هیروئ چې ټول غړي تعقیب کړئ. د شاملیدو لپاره مننه
46, تاسو زما د مینې لپاره په زنځیرونو کې ترلاسه کړی: '(- یوټیر-SE ایکولټا
47, سمه ده .. مګر ..: (((
48, تاسو ولې د چهارشنبه په ورځ نه یاست :(
49, سپيڅل - نه.څومره چې څه شور کول :-(
50, اوخ څه شی دی؟موږ یو څه کولو ته اړتیا لرو :-( x
51, ستاسو د زوکړې ورځ کله ده؟:(
52, دا ترټولو بد برخه وه او زه لاهم د دې په اړه بد احساس کوم :(
53, پلټیر: زما ټول مشاهی عکسونه زما په TL کې ما ته موټر چلوي :(
54, واقعیا دا غواړئ :(
55, د هیلیم بالون په څیر پاپو شوی .. :-(
56, د کالیفورنیا ځواکمن او اغیزناکه هوا ککړتیا نظارت .:- کالیففور ...(
57, زه ډیر غمجن وم ځکه چې الحیده د زکاناتو له امله اچول شوې وه :( هغه د تلویزیون په تلویزیون کې راغلې
58, اډاهو به د سیمه ایز وچکالۍ سره سره د کب نیولو محدوده نه کړي ... :-(
59, ناڅاپي اقلیم بدلون ممکن د تخمدان مومامات او نور میګفاتونا ولري ... :(
60, د آسټرالیا ترټولو لږ 'د بریښنا سټیشن د' پاک انرژي 'بایوماس په پام کې نیسي ...(
61, دا د شنه کیدو اسانه ندي که تاسو په کالیفورنیا کې د ګالف کورس یاست .: الټی ... :-(
62, ښه زه ډاډه یم چې ستاسو د کاري ورځ د ماین څخه مخکې ده :(
63, imgonnauخطاسکسیprexy:(((((((((
64, زما د وړکتون ماشومان یادوم :(
65, وږی :-(
66, یوازې هغه کتاب موندلی چې ما یې ساتیري ساتي: ((
67, په لفظي ډول درې لونج پیښې شتون لري ولې :-( :-( نور ډیریږي زه غمجن یم
68, تاسو ته مشر یاد کړئ :(
69, زه هوزیر خوښوم :-(
70, دا ریښتیا ده، زه یوازې دا غواړم
71, اه خوله :(
72, بخښنه غواړم :(! هایپرچیلزټرویلیمیا څه شی دی؟ ایا تاسو ښه یاست؟
73, ماشوم لاهم ستړی ښکاري :(
74, ایا یو څوک کولی شي ما ته کیلیبراسکا ته ډالۍ کړي :(
75, د دې په اړه لوی شرم دی چې موږ به واقعیا ریښتیني نوماندان وي مګر دا به نه پیښیږي :(
76, زما سر تل درد کوي که زه ناوخته LMAO ته پاتې شم :(
77, زما په پرتله څومره عمر لري :(
78, ملاتړ شوی :(
79, تاسو هوښیاره :(
80, ډیر یادیږي :-(
81, زه لامحدود یادوم :-(
82, Ao ایا دا زما لپاره نه کوي مګر زه نه غواړم چې د یو له مخې ودریږم.:(
83, دا خورا ډیر جدي yunh :(
84, زما کوټه ډیره ګرمه ده :-(
85, ما تر دې دمه زما د ښکلي جیک ډرایک وموند: ((((((()
86, شرم :(
87, مګر پرېښودل شوی: (((((((((
88, کاش چې ما خپل باتوکس ترلاسه کړی وای :(
89, ناروغ :(
90, فرانسوي مخلوطونه تاسو ډیر یادوي :(
91, WFT .. د زړه راښکونکي نه لیدل کیږي !!:-(
92, څه وشو؟؟: (((()
93, د ګوند هڅونې پای ته رسي :(
94, د میوزیک بانک تل ډیر لنډ :(
95, ماشوم هلک: ((((((((()
96, زما امر په مرکز کې ترلاسه شوی مګر داسې ښکاري چې دا به نن ورځ تحویل شي :( (/)
97, ولې زما مور په لوړ غږ کوي :(
98, د پرازیوټ پای زما احساسات د هغه احساساتو ته د تګ لارې څخه الوتنه کوي :(
99, کشکي :(
100, ښه د آئی د نارينې دورې :(
101, زه هم ..._ "」 」∠): _
102, نیتانین he زه هیڅکله ستاسو سره یو فرصت نه لرم :( د هیګ کار ترلاسه کړ!
103, 103, د خدائي خدائي آئع مرحله :( مګر دا معنی لري
104, هغې ته ووایاست چې ځان یې پیچلي کړئ.زه به د خپل ځان په خپل ځان کې یو نویفیلیکس او یخ یم.Y U U phyvine :(
105, اوه نه: ((او هو زه امید لرم چې هغه ژر بیرته راځي
106, زه یم.ما وړاندیز منلی دی .. بیوټ زه د کال څخه لرې کولو ته پام اړ کوم.:(
107, بېرته راشه :(
108, SNAPCHEH ما - امیرګوانارډ :(
109, هو زه جریان نلرم زه دنده لرم :(
110, تاسو ډیر لرې لاړ ،(
111, د هغې د بهرني شی په اړه څه: ((((
112, اوه زه واقعیا نشم غواړم زما امیدونه ترلاسه کړم مګر هیله لرم چې هغه به: ((
113, ورکا نه: (((
114, زه پوهیدم چې تاسو خفه یاست
115, لمر :( زه دومره بد احساس کوم ....
116, نو نه ختمیدونکی ویوزا :(
117, د fah څخه بیرته هغه زما دی :-(
118, Taylorتاسو ولې دخپل ځانحاصلنهبهر:(((((((((((((((
119, په دواړو شمیرونو کې
120, نوی ګیتار :(
121, نو کله به زه خپل جونګی ډبره ولیږم؟:( مهرباني وکړئ وړاندوینه وکړئ :(
122, زه امید لرم چې SJ به ډیر ژر معرفي شي مګر د SJ VS VS VS Vosite llsite Pls: (((((
123, هو، هغه نارې وهي، ارام شه او د ځان لپاره خځلېږئ :-(
124, مهرباني وکړئ سیر پلس: (((
125, دوی دومره شاک اوmgggg خبرې کوي: (((یا (
126, هرکله چې زه به په هغه شپه کې تیریږم موږ به سګرټ څښم او فلم به وګورو مګر هغه به تل په ما ویده شي :(
127, موږ لوی فاینل ته نږدې یو!:(
128, :( دا یو اوږد وخت دی
129, اوه، دا باید دومره ناراضه وي چې متنونه یې ترسره کوي ترڅو غوره کړي؟
130, څوک د عضلاتو توکو لپاره ورکشاپ کوي؟:( یا کوم میچس
131, هو ډېر بد :(
